time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/std,train/n_updates,train/explained_variance,train/approx_kl
9,20982,93,550.1221750399999,128.63,190464,110.6907958984375,0.2,-1.1584906026721,0.189013671875,-0.010413623452768661,0.0003,397.50697042942045,0.430309534072876,6320,0.9853519219905138,0.020836432
9,21205,94,500.13260216,133.03,192512,285.85223388671875,0.2,-1.1550792764872313,0.18173828125,-0.007634119008434937,0.0003,1575.4340325832368,0.4330442547798157,6330,0.9607171975076199,0.014579274
9,21429,95,498.3330347399999,133.97,194560,122.83203125,0.2,-1.161650552228093,0.170458984375,-0.011546907279989683,0.0003,1287.733380961418,0.4326675236225128,6340,0.9768126346170902,0.02746341
9,21662,96,566.4323358099998,123.97,196608,200.16268920898438,0.2,-1.1603405844420194,0.10263671875,-0.008557257789652795,0.0003,1910.33247590065,0.4322206676006317,6350,0.9667871333658695,0.009930383
9,21888,97,541.6748437699999,127.7,198656,7365.93310546875,0.2,-1.1457345612347125,0.140625,-0.009700514018186368,0.0003,1241.6796433448792,0.4253869652748108,6360,0.9788800403475761,0.015155362
9,22113,98,475.24150690999994,127.67,200704,115.0636978149414,0.2,-1.1292379405349493,0.09716796875,-0.0070244077767711134,0.0003,1051.225989151001,0.4267359673976898,6370,0.9081052020192146,0.008390635
9,22341,99,482.36904626,125.38,202752,105.26327514648438,0.2,-1.1349037814885379,0.063232421875,-0.00608898516948102,0.0003,3549.402226448059,0.4273572564125061,6380,0.9050478115677834,0.0104339495
9,22571,100,547.3948533900001,120.26,204800,1179.6048583984375,0.2,-1.1363897506147622,0.077978515625,-0.009937363053904847,0.0003,3600.93775100708,0.4272121489048004,6390,0.9086570590734482,0.011369266
9,22795,101,578.66589564,119.96,206848,123.7209243774414,0.2,-1.1347847204655408,0.1359375,-0.009622360017965547,0.0003,793.4296058177948,0.4262979030609131,6400,0.9570091813802719,0.02702086
9,23023,102,519.67533834,127.46,208896,113.87531280517578,0.2,-1.1291088279336692,0.13095703125,-0.006201884304755367,0.0003,944.0294639587403,0.42479225993156433,6410,0.9591654799878597,0.017344471
9,23246,103,498.27270222,128.98,210944,154.9610595703125,0.2,-1.1261075910180807,0.133544921875,-0.010997615446103736,0.0003,1208.0302210330963,0.4256458282470703,6420,0.9714481458067894,0.014276544
9,23474,104,573.61763075,124.69,212992,1790.6505126953125,0.2,-1.1289941500872374,0.072607421875,-0.008786157699069009,0.0003,6432.086040687561,0.4258441925048828,6430,0.9023041352629662,0.006822343
9,23703,105,561.2963145000001,123.97,215040,63.29966735839844,0.2,-1.1254186648875475,0.15380859375,-0.01111334051383892,0.0003,319.68675925731657,0.42427921295166016,6440,0.9900655997917056,0.0146474205
9,23929,106,509.69458246999994,127.84,217088,249.5857391357422,0.2,-1.120019356161356,0.111865234375,-0.009291214458062313,0.0003,2283.0393975257875,0.42363792657852173,6450,0.9303680434823036,0.009827822
9,24158,107,490.05985804000005,125.46,219136,633.1519775390625,0.2,-1.1196540743112564,0.074755859375,-0.011583674509893171,0.0003,3734.168091392517,0.4238598942756653,6460,0.9455083720386028,0.010168175
9,24383,108,459.1322245399999,125.12,221184,828.8460083007812,0.2,-1.119831569492817,0.115966796875,-0.007126169689581729,0.0003,1971.2245186328887,0.42385369539260864,6470,0.9486116841435432,0.014219521
9,24611,109,446.64205418,122.6,223232,3339.863037109375,0.2,-1.1199806917458772,0.042626953125,-0.006902843015268445,0.0003,5977.943577957153,0.423648476600647,6480,0.9350847005844116,0.006702289
9,24840,110,445.34017255000003,119.5,225280,1108.7105712890625,0.2,-1.1197455532848835,0.038671875,-0.008137984090717509,0.0003,7203.352523994446,0.4239348769187927,6490,0.9244214072823524,0.0050251656
9,25074,111,500.8726922,115.13,227328,187.07093811035156,0.2,-1.1146847784519196,0.102783203125,-0.010753993599792011,0.0003,1558.2234137058258,0.42073625326156616,6500,0.9506462514400482,0.012882874
9,25305,112,528.1938229600001,111.58,229376,4761.427734375,0.2,-1.1028796907514333,0.087939453125,-0.007988983616814948,0.0003,4029.835727453232,0.41938453912734985,6510,0.9479966089129448,0.015824113
9,25535,113,538.72417052,106.77,231424,424.97747802734375,0.2,-1.0903557121753693,0.08408203125,-0.008207515135291032,0.0003,1504.3129668235779,0.4154614806175232,6520,0.9696827903389931,0.014509866
9,25762,114,599.80557241,109.32,233472,162.39553833007812,0.2,-1.0785363961011172,0.15234375,-0.009214308118680492,0.0003,1157.7994791507722,0.41465282440185547,6530,0.9746700115501881,0.013732061
9,25991,115,606.02476922,108.99,235520,185.5652313232422,0.2,-1.0734456039965152,0.15205078125,-0.009957112098345534,0.0003,583.3230878353119,0.4135242700576782,6540,0.9807337578386068,0.016383994
9,26217,116,540.33335585,113.02,237568,69.70001983642578,0.2,-1.0573593828827144,0.180224609375,-0.009234997627208941,0.0003,376.6873610496521,0.40900787711143494,6550,0.984867125749588,0.018789597
9,26448,117,555.3960594200001,112.46,239616,2015.686279296875,0.2,-1.0486828837543727,0.095458984375,-0.012559971207519994,0.0003,2514.0735841751098,0.40921059250831604,6560,0.9615877158939838,0.012874938
9,26675,118,579.3086351700001,115.63,241664,96.53836822509766,0.2,-1.0447130370885134,0.12314453125,-0.008877256103733088,0.0003,548.1848608970643,0.4072990119457245,6570,0.9804271180182695,0.023103708
9,26903,119,572.2911846299999,117.98,243712,940.8580932617188,0.2,-1.0413935676217079,0.09658203125,-0.007228244903672021,0.0003,1701.0073104858398,0.40748316049575806,6580,0.9563320614397526,0.0072792475
9,27135,120,564.15907797,114.52,245760,219.79229736328125,0.2,-1.042046232521534,0.0806640625,-0.009175092543591746,0.0003,2522.155704021454,0.40821826457977295,6590,0.9348642379045486,0.009761761
9,27365,121,605.96517864,113.55,247808,6067.58984375,0.2,-1.043932443484664,0.08369140625,-0.004972977112629451,0.0003,4504.668549966812,0.40789148211479187,6600,0.9448928311467171,0.006497635
9,27589,122,630.1866734099999,115.67,249856,3747.3134765625,0.2,-1.043271766602993,0.061181640625,-0.009785406297305599,0.0003,3581.607364654541,0.4075371325016022,6610,0.9021476730704308,0.008900475
