rollout/ep_len_mean,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,train/learning_rate,train/loss,train/n_updates
226.69,9,0.05,-1064.93481248,940,21325,201407,0.0001,0.13666316866874695,37851
223.53,9,0.05,-1041.42910474,944,21405,202157,0.0001,0.17049990594387054,38039
219.85,9,0.05,-1008.9714416299998,948,21486,202921,0.0001,0.12213005125522614,38230
206.59,9,0.05,-979.0954397500001,952,21539,203402,0.0001,0.07727760076522827,38350
210.89,9,0.05,-1000.2062983000002,956,21658,204542,0.0001,13.72126293182373,38635
211.81,9,0.05,-1010.47362578,960,21739,205300,0.0001,0.13585475087165833,38824
211.69,9,0.05,-1013.80739986,964,21802,205876,0.0001,0.2901473641395569,38968
207.63,9,0.05,-1002.6689647800001,968,21856,206368,0.0001,0.11757150292396545,39091
208.77,9,0.05,-1019.8592132000001,972,21944,207194,0.0001,0.21024562418460846,39298
201.37,9,0.05,-980.0685505,976,22019,207898,0.0001,0.1783716380596161,39474
202.85,9,0.05,-982.7911362099999,980,22109,208748,0.0001,14.992579460144043,39686
201.88,9,0.05,-956.4920368200001,984,22182,209427,0.0001,0.12741610407829285,39856
201.68,9,0.05,-950.48580963,988,22269,210240,0.0001,0.2646837532520294,40059
189.67,9,0.05,-939.722567,992,22333,210828,0.0001,0.06960694491863251,40206
191.55,9,0.05,-984.8765792199999,996,22465,212104,0.0001,0.1461697816848755,40525
193.74,9,0.05,-989.25038268,1000,22554,212938,0.0001,0.19707831740379333,40734
197.04,9,0.05,-1017.62156554,1004,22678,214128,0.0001,31.762821197509766,41031
196.7,9,0.05,-1026.14523993,1008,22780,215102,0.0001,0.11494500190019608,41275
187.15,9,0.05,-952.1222208400001,1012,22823,215483,0.0001,0.1698700487613678,41370
182.87,9,0.05,-945.75623818,1016,22854,215741,0.0001,0.0969671905040741,41435
182.1,9,0.05,-955.6482202399999,1020,22890,216048,0.0001,0.1351345181465149,41511
177.35,9,0.05,-940.3690663199999,1024,22942,216515,0.0001,0.13951373100280762,41628
178.93,9,0.05,-932.1695097600001,1028,23003,217079,0.0001,13.373697280883789,41769
174.75,9,0.05,-909.9249945799997,1032,23043,217427,0.0001,0.11592087149620056,41856
174.91,9,0.05,-913.8882642999998,1036,23122,218167,0.0001,0.11060211062431335,42041
174.12,9,0.05,-903.9286788600001,1040,23192,218819,0.0001,0.10691583901643753,42204
175.82,9,0.05,-921.4353952100001,1044,23289,219739,0.0001,0.12349095195531845,42434
177.32,9,0.05,-935.0565751,1048,23385,220653,0.0001,0.13719108700752258,42663
177.49,9,0.05,-950.7427497700003,1052,23441,221151,0.0001,0.20920430123806,42787
173.95,9,0.05,-934.2550427900002,1056,23524,221937,0.0001,0.18586604297161102,42984
173.31,9,0.05,-917.31666645,1060,23599,222631,0.0001,0.17970848083496094,43157
175.13,9,0.05,-925.2163082099999,1064,23680,223389,0.0001,0.11014235764741898,43347
180.15,9,0.05,-935.4246979000001,1068,23784,224383,0.0001,0.11364199221134186,43595
179.69,9,0.05,-918.04885649,1072,23867,225163,0.0001,0.12951162457466125,43790
183.35,9,0.05,-935.1103173099999,1076,23979,226233,0.0001,0.1625654697418213,44058
179.49,9,0.05,-916.9241420899999,1080,24031,226697,0.0001,14.3021240234375,44174
180.1,9,0.05,-948.74982087,1084,24110,227437,0.0001,0.08590719848871231,44359
185.75,9,0.05,-997.69370708,1088,24253,228815,0.0001,0.10014013200998306,44703
184.67,9,0.05,-993.3274437800001,1092,24306,229295,0.0001,0.15067677199840546,44823
176.87,9,0.05,-949.10130254,1096,24361,229791,0.0001,0.1013759970664978,44947
175.75,9,0.05,-955.7729840100002,1100,24438,230513,0.0001,0.27337998151779175,45128
173.91,9,0.05,-941.8758906600001,1104,24544,231519,0.0001,0.16338056325912476,45379
167.67,9,0.05,-905.42713541,1108,24584,231869,0.0001,0.07574081420898438,45467
180.04,9,0.05,-943.6814830700001,1112,24751,233487,0.0001,0.07213862985372543,45871
199.32,9,0.05,-958.3011221800001,1116,24975,235673,0.0001,14.548440933227539,46418
206.93,9,0.05,-970.85675957,1120,25087,236741,0.0001,0.08740438520908356,46685
206.92,9,0.05,-960.40484618,1124,25139,237207,0.0001,0.08219064772129059,46801
207.65,9,0.05,-951.95355553,1128,25208,237844,0.0001,0.11794904619455338,46960
207.83,9,0.05,-974.0414871699998,1132,25249,238210,0.0001,0.13969700038433075,47052
206.47,9,0.05,-965.8567151500001,1136,25315,238814,0.0001,0.1817249208688736,47203
211.15,9,0.05,-991.9828099900001,1140,25432,239934,0.0001,0.12075529992580414,47483
205.61,9,0.05,-951.37708306,1144,25474,240300,0.0001,0.18985073268413544,47574
202.17,9,0.05,-932.6620367900001,1148,25536,240870,0.0001,0.41897696256637573,47717
207.99,9,0.05,-943.4900070300001,1152,25649,241950,0.0001,0.13705813884735107,47987
203.37,9,0.05,-908.0672544600001,1156,25687,242274,0.0001,0.1481395959854126,48068
201.36,9,0.05,-899.9769412500001,1160,25741,242767,0.0001,0.1090201735496521,48191
199.7,9,0.05,-899.25000648,1164,25805,243359,0.0001,0.08583550900220871,48339
193.44,9,0.05,-869.1028282599999,1168,25847,243727,0.0001,0.07260057330131531,48431
189.8,9,0.05,-860.98627892,1172,25894,244143,0.0001,13.930444717407227,48535
185.99,9,0.05,-850.67919612,1176,25968,244832,0.0001,13.562199592590332,48707
185.86,9,0.05,-835.0192533500001,1180,26018,245283,0.0001,0.11729134619235992,48820
192.8,9,0.05,-864.5271728299999,1184,26167,246717,0.0001,13.693029403686523,49179
183.75,9,0.05,-809.2843079999999,1188,26219,247190,0.0001,0.1281004250049591,49297
186.9,9,0.05,-792.6670094399998,1192,26303,247985,0.0001,0.21538838744163513,49496
186.7,9,0.05,-787.35939365,1196,26356,248461,0.0001,13.77607250213623,49615
184.4,9,0.05,-752.86977549,1200,26411,248953,0.0001,0.0729036033153534,49738
183.75,9,0.05,-734.72772024,1204,26510,249894,0.0001,0.1262032389640808,49973
186.23,9,0.05,-782.5311763200001,1208,26575,250492,0.0001,0.22020487487316132,50122
177.45,9,0.05,-779.8636146100002,1212,26654,251232,0.0001,14.933967590332031,50307
164.43,9,0.05,-785.4046148400001,1216,26747,252116,0.0001,0.17682617902755737,50528
166.97,9,0.05,-781.3750323099999,1220,26885,253438,0.0001,0.08349263668060303,50859
171.99,9,0.05,-806.48769169,1224,26987,254406,0.0001,14.905590057373047,51101
175.04,9,0.05,-853.3233791099999,1228,27086,255348,0.0001,0.09154294431209564,51336
182.48,9,0.05,-879.49085549,1232,27202,256458,0.0001,0.182736337184906,51614
181.0,9,0.05,-874.7558045099998,1236,27252,256914,0.0001,15.147425651550293,51728
181.22,9,0.05,-858.1812516,1240,27372,258056,0.0001,0.14225219190120697,52013
191.22,9,0.05,-881.9573349199999,1244,27513,259422,0.0001,0.08628326654434204,52355
190.48,9,0.05,-883.3886566399998,1248,27568,259918,0.0001,0.27131056785583496,52479
187.8,9,0.05,-870.81061306,1252,27655,260730,0.0001,0.11009304225444794,52682
193.08,9,0.05,-909.6296460700001,1256,27745,261582,0.0001,0.17017227411270142,52895
194.07,9,0.05,-930.6005937000002,1260,27809,262174,0.0001,0.4741257429122925,53043
194.01,9,0.05,-923.4880558499999,1264,27873,262760,0.0001,0.12251603603363037,53189
194.71,9,0.05,-941.17629745,1268,27922,263198,0.0001,0.15708696842193604,53299
198.39,9,0.05,-950.66806451,1272,28005,263982,0.0001,0.13943351805210114,53495
204.06,9,0.05,-966.80795964,1276,28136,265238,0.0001,0.11650974303483963,53809
212.49,9,0.05,-1017.71749936,1280,28270,266532,0.0001,0.12611626088619232,54132
207.37,9,0.05,-984.1580557499999,1284,28368,267454,0.0001,0.1243833526968956,54363
209.52,9,0.05,-1012.13342741,1288,28441,268142,0.0001,15.50990104675293,54535
204.31,9,0.05,-1022.9187913000002,1292,28474,268416,0.0001,0.07355862855911255,54603
