time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/loss,train/n_updates
129,725.79,-1959.3385907600002,9,27166,264192,0.0067364294,329.67446343898774,0.0003,-1.7954703044146298,0.041259765625,-0.011540303786750883,0.2,0.8797493800520897,146.31887817382812,1280
130,721.66,-1962.21343812,9,27378,266240,0.005489107,973.3637683868408,0.0003,-1.6712954223155976,0.0427734375,-0.010651589900953695,0.2,0.8634300976991653,359.36773681640625,1290
131,716.08,-1933.0863556800002,9,27588,268288,0.004513817,874.5618582487107,0.0003,-1.7638889964669944,0.03154296875,-0.010366332641569897,0.2,0.6415210962295532,139.98092651367188,1300
132,721.06,-1943.47879051,9,27799,270336,0.006668184,4783.7824511528015,0.0003,-1.8693961251527071,0.04814453125,-0.009711337587214075,0.2,0.5883529186248779,883.117431640625,1310
133,727.11,-1951.5050274299997,9,28008,272384,0.005163516,4835.604926109314,0.0003,-1.6891653042286634,0.0083984375,-0.006549385403923224,0.2,0.7606092542409897,790.4813842773438,1320
134,727.11,-1944.8774676999997,9,28217,274432,0.0071384357,144.5855869412422,0.0003,-1.6821429077535868,0.0560546875,-0.01550584527431056,0.2,0.855967566370964,43.275875091552734,1330
135,727.11,-1917.33726738,9,28426,276480,0.0069203265,187.9383274793625,0.0003,-1.6916934244334698,0.0431640625,-0.013392302618012764,0.2,0.9568540267646313,113.99773406982422,1340
136,738.25,-1911.0862194299998,9,28637,278528,0.006902219,189.25888453722,0.0003,-1.7481412649154664,0.047509765625,-0.01500910145987291,0.2,0.914677120745182,126.98321533203125,1350
137,729.51,-1904.6641253300002,9,28848,280576,0.004437672,3393.483084154129,0.0003,-1.7956886108964683,0.030029296875,-0.006974491183063947,0.2,0.176780104637146,534.4544677734375,1360
138,734.86,-1953.7109414300003,9,29057,282624,0.004122779,1182.4168385982514,0.0003,-1.7800612721592188,0.014697265625,-0.007960023927444127,0.2,0.5333046317100525,852.1835327148438,1370
139,738.21,-1944.96196983,9,29266,284672,0.009005874,171.12032665014266,0.0003,-1.701635592803359,0.08603515625,-0.019421343356953003,0.2,0.7672941833734512,40.7558479309082,1380
140,740.03,-1936.9199561699998,9,29476,286720,0.0046208585,3722.2591844558715,0.0003,-1.7818449459969998,0.023291015625,-0.00791880391916493,0.2,0.6995221078395844,140.96493530273438,1390
141,746.98,-1962.95657014,9,29685,288768,0.0020556496,3334.019514369965,0.0003,-1.7117631066590548,0.00341796875,-0.0030090450862189757,0.2,0.7758776396512985,163.2180938720703,1400
142,754.41,-1965.03430742,9,29894,290816,0.005069823,724.0932250022888,0.0003,-1.626890604197979,0.03349609375,-0.009753527834254783,0.2,0.8825191184878349,216.19839477539062,1410
143,758.08,-2010.32512334,9,30104,292864,0.007533638,264.52208976745607,0.0003,-1.7062452215701343,0.0830078125,-0.016718490672064944,0.2,0.951723862439394,47.65983963012695,1420
