train/n_updates,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/critic_loss,train/learning_rate,time/time_elapsed
730607,-93.72238444999999,9,31108,240,0.2614555358886719,308.1123962402344,-0.13462363183498383,122.53,410.60333251953125,0.0003,3420
730898,-89.49761575999997,9,31399,244,0.2606041431427002,278.51214599609375,-0.08325181901454926,119.52,262.28961181640625,0.0003,3454
731197,-105.12640891000001,9,31698,248,0.2634577453136444,267.9822082519531,0.19986531138420105,118.64,291.0623779296875,0.0003,3489
731788,-102.15938180000003,9,32289,252,0.26125723123550415,256.17950439453125,0.20250976085662842,117.49,343.0308837890625,0.0003,3553
732423,-103.73425499,9,32924,256,0.25345534086227417,235.11558532714844,-0.109174944460392,118.59,240.42510986328125,0.0003,3622
733024,-103.18205395000001,9,33525,260,0.25076591968536377,246.66500854492188,0.1896856427192688,119.15,493.157958984375,0.0003,3687
733697,-126.76371154999998,9,34198,264,0.2592626214027405,268.2685546875,0.016765940934419632,121.15,262.00927734375,0.0003,3759
734282,-114.67013093999999,9,34783,268,0.2519538998603821,263.8056335449219,-0.22562740743160248,123.53,311.024658203125,0.0003,3823
734807,-116.00764486000001,9,35308,272,0.25532159209251404,249.41387939453125,-0.3185250759124756,125.05,377.802978515625,0.0003,3881
735338,-94.88689856,9,35839,276,0.25368019938468933,244.46824645996094,0.08786077052354813,124.26,314.5479431152344,0.0003,3939
735861,-98.11064646000001,9,36362,280,0.25082528591156006,243.7552032470703,-0.11536842584609985,126.49,271.66217041015625,0.0003,3996
736476,-43.83978902000004,9,36977,284,0.24895083904266357,186.40086364746094,0.2194816619157791,126.7,468.32958984375,0.0003,4063
737038,-52.72443759,9,37539,288,0.2520879805088043,236.20938110351562,-0.17101097106933594,129.25,615.5465087890625,0.0003,4124
737338,-13.80094122,9,37839,292,0.2519201636314392,219.73980712890625,-0.1121232658624649,125.85,310.1272277832031,0.0003,4159
738020,-51.630317520000006,9,38521,296,0.2517942190170288,231.29345703125,-0.23172178864479065,129.46,340.0426330566406,0.0003,4233
738717,-62.006486589999994,9,39218,300,0.2443375289440155,221.0216827392578,0.11691910028457642,132.37,403.6298828125,0.0003,4308
739169,-4.947176660000016,9,39670,304,0.24387739598751068,276.79608154296875,-0.32145488262176514,131.71,306.6874084472656,0.0003,4358
739743,-11.629935270000024,9,40244,308,0.24341163039207458,196.94644165039062,-0.32407933473587036,131.53,313.2954406738281,0.0003,4420
740200,-0.5536958600000059,9,40701,312,0.2449665665626526,235.24862670898438,-0.13760629296302795,131.5,446.49127197265625,0.0003,4471
740454,2.0472226899999884,9,40955,316,0.24458087980747223,226.6573028564453,-0.49538856744766235,129.53,427.623779296875,0.0003,4502
740921,18.613392890000004,9,41422,320,0.24137969315052032,171.79452514648438,0.08288753032684326,127.18,365.33013916015625,0.0003,4554
741313,21.462405760000006,9,41814,324,0.2392456978559494,214.90179443359375,-0.03880518674850464,123.68,341.9238586425781,0.0003,4598
742305,50.793047779999995,9,42806,328,0.23754163086414337,224.45761108398438,-0.21208259463310242,128.3,367.00341796875,0.0003,4702
742582,77.31557809999998,9,43083,332,0.2377980351448059,175.05484008789062,0.24123124778270721,125.91,459.81964111328125,0.0003,4735
743045,87.50093057999997,9,43546,336,0.23758326470851898,191.5866241455078,-0.3610783815383911,127.03,381.25830078125,0.0003,4787
743621,41.25446537,9,44122,340,0.23487041890621185,187.30487060546875,-0.11877035349607468,130.14,343.5597839355469,0.0003,4849
744354,29.373619299999984,9,44855,344,0.22789838910102844,272.19744873046875,-0.3382391333580017,134.56,530.5177612304688,0.0003,4928
