train/n_updates,train/learning_rate,time/total_timesteps,train/actor_loss,train/ent_coef_loss,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef
626170,0.0003,226571,-298.9067077636719,0.2653176486492157,2088,8,25375,104.69,742.6136474609375,845.42716508,0.3804575502872467
626551,0.0003,226952,-266.8026123046875,0.08245720714330673,2092,8,25419,103.68,673.372802734375,846.8335402499999,0.379646360874176
627011,0.0003,227412,-292.4013977050781,-0.043919287621974945,2096,8,25470,104.2,800.0217895507812,846.8718176099999,0.37717440724372864
627455,0.0003,227856,-293.2747497558594,-0.22250664234161377,2100,8,25519,105.05,1021.64794921875,860.3455179000001,0.3817906975746155
627820,0.0003,228221,-275.9478759765625,-0.1139463484287262,2104,8,25561,105.05,947.4271240234375,875.3502517999998,0.3763771951198578
628254,0.0003,228655,-342.2261657714844,0.2338038682937622,2108,8,25610,105.21,705.5841064453125,876.6324711699999,0.3771502673625946
628686,0.0003,229087,-287.34991455078125,0.028870193287730217,2112,8,25658,105.36,662.3252563476562,876.83198975,0.37613287568092346
629151,0.0003,229552,-331.04327392578125,-0.0775725394487381,2116,8,25710,105.59,1261.28857421875,876.14738905,0.3788142204284668
629608,0.0003,230009,-311.6935729980469,-0.1626271903514862,2120,8,25761,105.51,1048.1434326171875,876.3147336799999,0.3801170885562897
629985,0.0003,230386,-329.23846435546875,-0.008736953139305115,2124,8,25804,104.58,545.1380615234375,877.27611372,0.3812737464904785
630379,0.0003,230780,-275.10882568359375,-0.17072433233261108,2128,8,25848,103.62,1054.265869140625,878.7468546000002,0.38451462984085083
630841,0.0003,231242,-283.83343505859375,0.032715946435928345,2132,8,25900,104.74,1089.1739501953125,878.42628036,0.3893967270851135
631224,0.0003,231625,-298.3787536621094,-0.08760938048362732,2136,8,25944,103.89,713.620849609375,879.96604353,0.39384570717811584
631599,0.0003,232000,-315.74163818359375,-0.043700698763132095,2140,8,25986,103.52,947.0823974609375,865.0853109999999,0.39491429924964905
632011,0.0003,232412,-319.92291259765625,0.37251320481300354,2144,8,26033,103.47,734.126953125,849.0373812900002,0.4049004316329956
632358,0.0003,232759,-314.1163330078125,-0.06242568418383598,2148,8,26073,102.57,693.0205688476562,849.5400423600003,0.40807750821113586
632821,0.0003,233222,-285.5175476074219,-0.06159993261098862,2152,8,26125,103.06,864.5740966796875,848.0156792700001,0.3937278091907501
633279,0.0003,233680,-326.3852233886719,0.35729852318763733,2156,8,26176,104.57,883.2216186523438,846.1754927800002,0.384040892124176
633801,0.0003,234202,-301.58148193359375,0.27706781029701233,2160,8,26233,105.77,700.2255859375,843.92093693,0.3973436653614044
634118,0.0003,234519,-294.97125244140625,-0.22267401218414307,2164,8,26270,104.12,608.0819091796875,845.7765616200002,0.3860310912132263
634577,0.0003,234978,-284.293212890625,-0.04880484938621521,2168,8,26321,104.33,1060.4896240234375,860.4218150200002,0.3788644075393677
634913,0.0003,235314,-328.2272644042969,0.2236289381980896,2172,8,26360,103.77,1051.002685546875,861.5763574799998,0.3793707489967346
635331,0.0003,235732,-301.1379699707031,-0.1046026349067688,2176,8,26407,103.66,769.7351684570312,862.2770770499999,0.38655325770378113
635721,0.0003,236122,-338.435791015625,-0.02580166608095169,2180,8,26451,104.15,874.18603515625,861.3998376399999,0.3918085992336273
636250,0.0003,236651,-295.5585021972656,-0.15392965078353882,2184,8,26509,104.82,1014.544921875,860.5676826099999,0.3846298158168793
636698,0.0003,237099,-299.7568359375,-0.03290655463933945,2188,8,26559,105.28,916.7076416015625,859.9770769199998,0.38689473271369934
637111,0.0003,237512,-284.0521240234375,-0.03160479664802551,2192,8,26606,105.6,730.2884521484375,859.8395450299998,0.3953900635242462
637622,0.0003,238023,-299.49530029296875,-0.07918025553226471,2196,8,26662,106.11,1562.651611328125,859.71623345,0.380673348903656
638087,0.0003,238488,-312.2932434082031,-0.030199583619832993,2200,8,26714,106.32,1245.938232421875,859.70477072,0.3704884648323059
638507,0.0003,238908,-298.00634765625,0.1661083698272705,2204,8,26761,106.87,774.2910766601562,858.23341155,0.3708415925502777
638870,0.0003,239271,-317.8072509765625,-0.0906689316034317,2208,8,26802,106.16,1483.462158203125,858.37649135,0.3724936544895172
639282,0.0003,239683,-313.672119140625,0.3854077160358429,2212,8,26849,105.96,1742.99267578125,857.8815265699999,0.36914029717445374
639571,0.0003,239972,-294.53021240234375,-0.01607915386557579,2216,8,26883,104.2,709.5823364257812,860.0908020299998,0.37758809328079224
639979,0.0003,240380,-313.56829833984375,-0.2561008334159851,2220,8,26929,103.71,777.6935424804688,862.3273423600002,0.37429407238960266
640379,0.0003,240780,-301.3846435546875,-0.03194916993379593,2224,8,26974,103.94,848.755615234375,862.8976351399999,0.36911946535110474
640729,0.0003,241130,-276.1197509765625,-0.19344134628772736,2228,8,27014,103.5,666.683349609375,863.6045973599998,0.3731427490711212
641157,0.0003,241558,-325.0726318359375,-0.34762337803840637,2232,8,27062,103.16,1223.636962890625,864.17985985,0.37695422768592834
641598,0.0003,241999,-312.9436340332031,0.23435324430465698,2236,8,27112,103.74,665.0505981445312,864.36940316,0.3928370475769043
642128,0.0003,242529,-331.468994140625,-0.071373850107193,2240,8,27170,105.29,838.2861328125,877.1146662199998,0.3887541592121124
642558,0.0003,242959,-324.4674072265625,-0.28862103819847107,2244,8,27218,105.47,811.4964599609375,893.2573997300001,0.38675275444984436
643040,0.0003,243441,-321.7948913574219,-0.418732225894928,2248,8,27272,106.82,671.317138671875,891.82408037,0.3819495737552643
643423,0.0003,243824,-302.3990478515625,-0.25216764211654663,2252,8,27315,106.02,709.0989990234375,893.5421793200002,0.3819675147533417
643823,0.0003,244224,-267.4589538574219,0.10186497867107391,2256,8,27360,105.44,803.4664916992188,892.8027218999999,0.3889383375644684
644270,0.0003,244671,-334.44720458984375,-0.1450888216495514,2260,8,27410,104.69,681.2206420898438,893.66616001,0.3771969974040985
644713,0.0003,245114,-290.3227233886719,0.003604317083954811,2264,8,27460,105.95,573.3232421875,891.51212626,0.37755700945854187
645175,0.0003,245576,-340.68731689453125,0.19915437698364258,2268,8,27511,105.98,1002.8079833984375,892.7220718499999,0.38045600056648254
645622,0.0003,246023,-321.68939208984375,0.1283617615699768,2272,8,27561,107.09,748.7789306640625,891.3040990600001,0.3978724181652069
646096,0.0003,246497,-327.72430419921875,-0.2784731686115265,2276,8,27614,107.65,872.3731689453125,889.2538189200001,0.396666020154953
646524,0.0003,246925,-303.92584228515625,0.177207812666893,2280,8,27662,108.03,1123.90869140625,888.47784015,0.3728746771812439
646913,0.0003,247314,-305.0706787109375,0.376976877450943,2284,8,27706,106.63,640.6890869140625,890.8438268,0.3712528645992279
647327,0.0003,247728,-304.4705810546875,0.01521783322095871,2288,8,27752,106.29,1639.0792236328125,891.3155069399999,0.38541242480278015
647743,0.0003,248144,-349.6647033691406,0.3284904360771179,2292,8,27799,106.32,1200.64599609375,890.7185441100003,0.373392254114151
648171,0.0003,248572,-323.05902099609375,-0.12322577834129333,2296,8,27847,105.49,3425.2275390625,890.63931116,0.36148935556411743
648634,0.0003,249035,-310.87042236328125,-0.07072579860687256,2300,8,27899,105.47,795.696044921875,890.46080781,0.37098366022109985
649194,0.0003,249595,-293.8735656738281,0.3469530940055847,2304,8,27960,106.87,1902.753173828125,888.39483645,0.3794674575328827
