time/fps,rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates
9,0.05,704,12616,117287,-326.22138369000004,151.94,0.5469483733177185,0.0001,179321
9,0.05,708,12660,117676,-323.73947276,150.51,0.8181096315383911,0.0001,179418
9,0.05,712,12728,118300,-316.99308745,152.59,0.7416892051696777,0.0001,179574
9,0.05,716,12863,119604,-307.64871314,161.16,0.5312314033508301,0.0001,179900
9,0.05,720,12902,119940,-274.19407584000004,157.02,0.5599138736724854,0.0001,179984
9,0.05,724,12961,120482,-284.36350835,159.36,14.62894058227539,0.0001,180120
9,0.05,728,13006,120886,-265.52005762,150.45,11.516589164733887,0.0001,180221
9,0.05,732,13067,121442,-289.72967353,143.43,0.5499107837677002,0.0001,180360
9,0.05,736,13099,121716,-325.30949751,143.55,0.7293092608451843,0.0001,180428
9,0.05,740,13155,122219,-280.99874775999996,142.6,0.6347881555557251,0.0001,180554
9,0.05,744,13227,122889,-267.40266986,144.63,21.758512496948242,0.0001,180722
9,0.05,748,13279,123363,-289.19952895,146.03,0.7317286729812622,0.0001,180840
9,0.05,752,13363,124149,-287.99500195,147.73,1.4119433164596558,0.0001,181037
9,0.05,756,13434,124808,-337.32653145000006,145.29,0.4974175691604614,0.0001,181201
9,0.05,760,13484,125268,-326.80338482,146.38,32.49864959716797,0.0001,181316
9,0.05,764,13545,125824,-307.76701497,146.66,0.5458546876907349,0.0001,181455
9,0.05,768,13595,126275,-286.05110936,142.41,0.5204814672470093,0.0001,181568
9,0.05,772,13673,126999,-338.66803514,145.5,0.532545268535614,0.0001,181749
9,0.05,776,13736,127577,-371.59735880000005,145.76,0.8200703263282776,0.0001,181894
9,0.05,780,13774,127908,-369.72206086,144.88,0.40712830424308777,0.0001,181976
9,0.05,784,13858,128702,-418.43674761999995,149.27,0.5647642612457275,0.0001,182175
9,0.05,788,13930,129373,-427.1054309399999,151.7,0.4694267511367798,0.0001,182343
9,0.05,792,14002,130043,-411.85310193,148.16,0.5678858757019043,0.0001,182510
9,0.05,796,14063,130595,-405.51587943000004,144.82,0.8869620561599731,0.0001,182648
9,0.05,800,14109,131006,-374.79101501,140.91,0.5651687383651733,0.0001,182751
9,0.05,804,14150,131371,-342.58834430999997,140.84,0.5975766181945801,0.0001,182842
9,0.05,808,14196,131775,-371.08286433999996,140.99,0.7148910760879517,0.0001,182943
