time/time_elapsed,train/actor_loss,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,train/n_updates,time/fps,time/episodes,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss
16503,0.24347496032714844,0.1807992309331894,257.0037841796875,378.57136330000003,953860,9,844,0.0003,153.64,154161,-0.021176964044570923
16589,-99.14452362060547,0.18252575397491455,165.657958984375,334.3831439600001,954672,9,848,0.0003,157.69,154973,0.15679633617401123
16631,-27.91228485107422,0.18124954402446747,294.6259765625,378.1571452,955037,9,852,0.0003,153.56,155338,0.4585264325141907
16703,0.3784351348876953,0.1800706833600998,322.3368225097656,364.02673601000004,955706,9,856,0.0003,153.05,156007,0.08391301333904266
16812,-21.735261917114258,0.1811717301607132,232.19509887695312,374.50090361,956741,9,860,0.0003,154.18,157042,0.07968974113464355
16884,21.604045867919922,0.18432217836380005,196.08982849121094,396.89986708,957411,9,864,0.0003,152.2,157712,-0.5849889516830444
16972,-38.159812927246094,0.18239475786685944,223.18307495117188,387.04044273,958243,9,868,0.0003,155.5,158544,-0.15873101353645325
17038,-18.74770736694336,0.17706699669361115,275.492919921875,381.87602655,958851,9,872,0.0003,157.51,159152,-0.23887917399406433
17122,-9.849605560302734,0.17701442539691925,257.73541259765625,374.40420526999986,959634,9,876,0.0003,159.14,159935,0.3807196021080017
17206,-46.05584716796875,0.17845256626605988,307.2843017578125,351.04382494999993,960422,9,880,0.0003,161.8,160723,0.07467730343341827
17281,0.3518991470336914,0.17336826026439667,172.13995361328125,372.36015371,961130,9,884,0.0003,161.08,161431,-0.1293582022190094
17374,-16.30304718017578,0.17749343812465668,373.759033203125,348.35325943000004,962008,9,888,0.0003,164.41,162309,0.4547644853591919
17503,-25.476699829101562,0.18219442665576935,198.8089599609375,315.20258461000003,963243,9,892,0.0003,169.07,163544,-0.1967036873102188
17603,-32.002532958984375,0.17822621762752533,238.51107788085938,305.41561879,964188,9,896,0.0003,173.31,164489,-0.15166246891021729
17691,-17.71489715576172,0.17712882161140442,278.53924560546875,311.02135156,965018,9,900,0.0003,175.65,165319,0.38015466928482056
17751,61.59778594970703,0.1826949119567871,340.37408447265625,297.86304741,965567,9,904,0.0003,174.57,165868,-0.691738486289978
17809,-1.599710464477539,0.18256328999996185,157.16659545898438,308.08794453999997,966097,9,908,0.0003,171.57,166398,-0.11962760239839554
17883,-51.55665588378906,0.18374237418174744,247.95077514648438,324.90462916,966783,9,912,0.0003,171.34,167084,0.48814886808395386
17973,-14.329000473022461,0.17620949447155,222.15509033203125,307.72277761,967627,9,916,0.0003,176.55,167928,-0.30335354804992676
18006,12.265199661254883,0.17283247411251068,197.36834716796875,310.37036335,967908,9,920,0.0003,175.84,168209,0.052661456167697906
18109,-13.730941772460938,0.17832204699516296,301.90045166015625,297.40479638,968886,9,924,0.0003,179.35,169187,0.18418698012828827
18151,-33.746646881103516,0.17859598994255066,269.0782775878906,305.20862156,969255,9,928,0.0003,177.57,169556,0.18376077711582184
18232,-23.62574577331543,0.17922057211399078,165.2266845703125,324.66988404,970010,9,932,0.0003,177.7,170311,-0.09777989238500595
18346,-25.346786499023438,0.17495325207710266,203.48614501953125,306.43493599,971106,9,936,0.0003,182.25,171407,0.177981898188591
18411,0.7764415740966797,0.17732453346252441,210.28782653808594,321.387385,971706,9,940,0.0003,183.18,172007,-0.1642729789018631
18459,-71.16573333740234,0.17763061821460724,207.1904296875,326.6581388000001,972132,9,944,0.0003,182.72,172433,0.23360270261764526
